model,country,cultural_region,roleplay,A008,E018,F063,F118,F120,G006,E025,A165
deepseek/deepseek-chat-v3-0324,Iran (Islamic Republic of),AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Japan,AI Roleplay,True,2.0,,3.0,5.0,4.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Kazakhstan,AI Roleplay,True,2.0,,7.0,3.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Korea (the Republic of),AI Roleplay,True,2.0,,5.0,4.0,4.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Jordan,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Lebanon,AI Roleplay,True,2.0,,9.0,2.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Kuwait,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Latvia,AI Roleplay,True,2.0,,6.0,5.0,4.0,2.0,2.0,2.0
deepseek/deepseek-chat-v3-0324,Lithuania,AI Roleplay,True,2.0,,7.0,4.0,4.0,2.0,2.0,2.0
deepseek/deepseek-chat-v3-0324,Kenya,AI Roleplay,True,2.0,,9.0,2.0,3.0,,2.0,
deepseek/deepseek-chat-v3-0324,Malaysia,AI Roleplay,True,2.0,,9.0,3.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Libya,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Kyrgyzstan,AI Roleplay,True,2.0,,8.0,2.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Maldives,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Malta,AI Roleplay,True,2.0,,8.0,6.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Mali,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Mongolia,AI Roleplay,True,2.0,,6.0,4.0,5.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Mexico,AI Roleplay,True,2.0,,9.0,6.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Macao,AI Roleplay,True,2.0,,5.0,6.0,5.0,2.0,2.0,2.0
deepseek/deepseek-chat-v3-0324,Luxembourg,AI Roleplay,True,,,7.0,7.0,4.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Montenegro,AI Roleplay,True,2.0,,8.0,3.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Moldova (the Republic of),AI Roleplay,True,2.0,,8.0,3.0,3.0,2.0,2.0,2.0
deepseek/deepseek-chat-v3-0324,Netherlands (the),AI Roleplay,True,2.0,2.0,4.0,9.0,7.0,2.0,2.0,
deepseek/deepseek-chat-v3-0324,Nicaragua,AI Roleplay,True,2.0,,9.0,4.0,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Nigeria,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,New Zealand,AI Roleplay,True,2.0,3.0,4.0,9.0,7.0,2.0,2.0,2.0
deepseek/deepseek-chat-v3-0324,Pakistan,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Peru,AI Roleplay,True,2.0,,9.0,5.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Morocco,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Norway,AI Roleplay,True,,3.0,3.0,10.0,8.0,2.0,,
deepseek/deepseek-chat-v3-0324,Philippines (the),AI Roleplay,True,2.0,,9.0,6.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Poland,AI Roleplay,True,2.0,,8.0,4.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Romania,AI Roleplay,True,2.0,,8.0,4.0,3.0,2.0,2.0,2.0
deepseek/deepseek-chat-v3-0324,Puerto Rico,AI Roleplay,True,2.0,,9.0,6.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Russian Federation (the),AI Roleplay,True,2.0,,7.0,3.0,4.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Qatar,AI Roleplay,True,,,10.0,2.0,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Portugal,AI Roleplay,True,2.0,,7.0,7.0,4.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Serbia,AI Roleplay,True,2.0,,8.0,3.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Singapore,AI Roleplay,True,2.0,,5.0,5.0,5.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Slovakia,AI Roleplay,True,2.0,2.0,7.0,5.0,4.0,2.0,2.0,2.0
deepseek/deepseek-chat-v3-0324,Slovenia,AI Roleplay,True,2.0,2.0,7.0,6.0,4.0,2.0,2.0,2.0
deepseek/deepseek-chat-v3-0324,Rwanda,AI Roleplay,True,2.0,,9.0,2.0,,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Viet Nam,AI Roleplay,True,2.0,,6.0,4.0,4.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,South Africa,AI Roleplay,True,2.0,2.0,7.0,8.0,6.0,2.0,2.0,2.0
deepseek/deepseek-chat-v3-0324,Zimbabwe,AI Roleplay,True,2.0,,9.0,2.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Spain,AI Roleplay,True,2.0,,7.0,7.0,4.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Sweden,AI Roleplay,True,2.0,3.0,3.0,10.0,8.0,2.0,,
deepseek/deepseek-chat-v3-0324,Thailand,AI Roleplay,True,2.0,,8.0,6.0,4.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Tunisia,AI Roleplay,True,2.0,,9.0,2.0,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Switzerland,AI Roleplay,True,2.0,3.0,3.0,10.0,7.0,2.0,2.0,
deepseek/deepseek-chat-v3-0324,Trinidad and Tobago,AI Roleplay,True,2.0,,9.0,5.0,4.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Tajikistan,AI Roleplay,True,2.0,,9.0,2.0,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Turkey,AI Roleplay,True,2.0,,8.0,3.0,4.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,United Kingdom of Great Britain and Northern Ireland (the),AI Roleplay,True,2.0,2.0,5.0,8.0,6.0,2.0,2.0,2.0
deepseek/deepseek-chat-v3-0324,Republic of North Macedonia,AI Roleplay,True,2.0,,8.0,3.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,United States of America (the),AI Roleplay,True,2.0,2.0,6.0,8.0,6.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Uruguay,AI Roleplay,True,2.0,,7.0,8.0,5.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Egypt,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Burkina Faso,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Uzbekistan,AI Roleplay,True,2.0,,9.0,2.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Venezuela (Bolivarian Republic of),AI Roleplay,True,2.0,,9.0,5.0,4.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Ukraine,AI Roleplay,True,2.0,,8.0,3.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Zambia,AI Roleplay,True,2.0,,10.0,2.0,3.0,,2.0,2.0
deepseek/deepseek-chat-v3-0324,Yemen,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
qwen/qwq-32b,Albania,AI Roleplay,True,2.0,,8.0,2.0,2.0,,,2.0
qwen/qwq-32b,Andorra,AI Roleplay,True,,,8.0,3.0,,,2.0,
qwen/qwq-32b,Azerbaijan,AI Roleplay,True,2.0,,7.0,2.0,2.0,,3.0,2.0
qwen/qwq-32b,Algeria,AI Roleplay,True,2.0,,10.0,,,,3.0,2.0
qwen/qwq-32b,Australia,AI Roleplay,True,2.0,3.0,3.0,10.0,7.0,,,
qwen/qwq-32b,Austria,AI Roleplay,True,2.0,2.0,6.0,6.0,3.0,2.0,2.0,
qwen/qwq-32b,Argentina,AI Roleplay,True,2.0,,7.0,7.0,4.0,,,2.0
qwen/qwq-32b,Bangladesh,AI Roleplay,True,2.0,,9.0,2.0,2.0,,2.0,2.0
qwen/qwq-32b,Armenia,AI Roleplay,True,2.0,,7.0,2.0,2.0,,3.0,2.0
qwen/qwq-32b,Belgium,AI Roleplay,True,2.0,2.0,4.0,9.0,6.0,2.0,2.0,
qwen/qwq-32b,Bolivia (Plurinational State of),AI Roleplay,True,2.0,,8.0,2.0,2.0,,3.0,2.0
qwen/qwq-32b,Bosnia and Herzegovina,AI Roleplay,True,2.0,,8.0,2.0,2.0,2.0,3.0,2.0
qwen/qwq-32b,Belarus,AI Roleplay,True,2.0,,6.0,2.0,3.0,,3.0,2.0
qwen/qwq-32b,Brazil,AI Roleplay,True,2.0,,8.0,6.0,,,2.0,2.0
qwen/qwq-32b,Bulgaria,AI Roleplay,True,2.0,,6.0,2.0,3.0,2.0,3.0,2.0
qwen/qwq-32b,Myanmar,AI Roleplay,True,2.0,,,2.0,2.0,,3.0,2.0
qwen/qwq-32b,Chile,AI Roleplay,True,2.0,,6.0,4.0,2.0,2.0,2.0,2.0
qwen/qwq-32b,Canada,AI Roleplay,True,2.0,3.0,4.0,10.0,8.0,2.0,2.0,
qwen/qwq-32b,China,AI Roleplay,True,2.0,,2.0,4.0,4.0,,3.0,2.0
qwen/qwq-32b,Taiwan (Province of China),AI Roleplay,True,2.0,,3.0,6.0,5.0,,2.0,
qwen/qwq-32b,Croatia,AI Roleplay,True,2.0,,8.0,3.0,2.0,,2.0,2.0
qwen/qwq-32b,Czechia,AI Roleplay,True,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0
qwen/qwq-32b,Colombia,AI Roleplay,True,2.0,,8.0,,3.0,,2.0,2.0
qwen/qwq-32b,Cyprus,AI Roleplay,True,2.0,,7.0,3.0,2.0,,2.0,2.0
qwen/qwq-32b,Denmark,AI Roleplay,True,,3.0,2.0,10.0,9.0,2.0,,
qwen/qwq-32b,Ecuador,AI Roleplay,True,2.0,,8.0,3.0,2.0,,2.0,2.0
qwen/qwq-32b,Estonia,AI Roleplay,True,2.0,,2.0,3.0,4.0,2.0,2.0,2.0
qwen/qwq-32b,Ethiopia,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,
qwen/qwq-32b,France,AI Roleplay,True,2.0,3.0,3.0,7.0,7.0,2.0,2.0,2.0
qwen/qwq-32b,Georgia,AI Roleplay,True,2.0,,10.0,2.0,2.0,,2.0,2.0
qwen/qwq-32b,Finland,AI Roleplay,True,,3.0,2.0,10.0,8.0,2.0,,
qwen/qwq-32b,"Palestine, State of",AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
qwen/qwq-32b,Germany,AI Roleplay,True,2.0,3.0,2.0,10.0,8.0,2.0,,
qwen/qwq-32b,Greece,AI Roleplay,True,2.0,,8.0,3.0,3.0,,2.0,2.0
qwen/qwq-32b,Ghana,AI Roleplay,True,2.0,,9.0,,2.0,,2.0,
qwen/qwq-32b,Haiti,AI Roleplay,True,,,10.0,2.0,,,3.0,2.0
qwen/qwq-32b,Hong Kong,AI Roleplay,True,2.0,,3.0,5.0,5.0,2.0,3.0,2.0
qwen/qwq-32b,Guatemala,AI Roleplay,True,2.0,,9.0,2.0,,,3.0,2.0
qwen/qwq-32b,Hungary,AI Roleplay,True,2.0,,,3.0,2.0,2.0,2.0,2.0
qwen/qwq-32b,Iceland,AI Roleplay,True,,3.0,2.0,10.0,9.0,,,
qwen/qwq-32b,India,AI Roleplay,True,2.0,,8.0,2.0,3.0,,2.0,2.0
qwen/qwq-32b,Indonesia,AI Roleplay,True,2.0,,9.0,2.0,2.0,,3.0,2.0
qwen/qwq-32b,Iran (Islamic Republic of),AI Roleplay,True,2.0,,10.0,,,,3.0,2.0
qwen/qwq-32b,Italy,AI Roleplay,True,2.0,,8.0,4.0,3.0,2.0,2.0,2.0
qwen/qwq-32b,Ireland,AI Roleplay,True,2.0,2.0,7.0,3.0,2.0,,2.0,
qwen/qwq-32b,Iraq,AI Roleplay,True,2.0,,,3.0,,,3.0,2.0
qwen/qwq-32b,Japan,AI Roleplay,True,2.0,,2.0,5.0,6.0,2.0,2.0,
qwen/qwq-32b,Kazakhstan,AI Roleplay,True,2.0,,5.0,2.0,3.0,,3.0,2.0
qwen/qwq-32b,Jordan,AI Roleplay,True,2.0,,10.0,,2.0,,3.0,2.0
qwen/qwq-32b,Korea (the Republic of),AI Roleplay,True,2.0,,3.0,3.0,4.0,,3.0,2.0
qwen/qwq-32b,Kyrgyzstan,AI Roleplay,True,2.0,,9.0,,2.0,,3.0,2.0
qwen/qwq-32b,Kenya,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
qwen/qwq-32b,Lebanon,AI Roleplay,True,3.0,,8.0,2.0,2.0,2.0,3.0,2.0
qwen/qwq-32b,Latvia,AI Roleplay,True,2.0,,3.0,2.0,3.0,,3.0,2.0
qwen/qwq-32b,Kuwait,AI Roleplay,True,2.0,,10.0,,2.0,,3.0,2.0
qwen/qwq-32b,Libya,AI Roleplay,True,2.0,,10.0,,2.0,,3.0,2.0
qwen/qwq-32b,Luxembourg,AI Roleplay,True,,,6.0,7.0,3.0,2.0,2.0,
qwen/qwq-32b,Lithuania,AI Roleplay,True,2.0,,7.0,2.0,3.0,,2.0,2.0
qwen/qwq-32b,Macao,AI Roleplay,True,2.0,,3.0,5.0,3.0,2.0,3.0,2.0
qwen/qwq-32b,Malaysia,AI Roleplay,True,2.0,,9.0,2.0,2.0,,2.0,2.0
qwen/qwq-32b,Mali,AI Roleplay,True,2.0,,10.0,,,,3.0,
qwen/qwq-32b,Maldives,AI Roleplay,True,2.0,,10.0,,,,3.0,
qwen/qwq-32b,Mexico,AI Roleplay,True,2.0,,8.0,4.0,2.0,,2.0,2.0
qwen/qwq-32b,Malta,AI Roleplay,True,2.0,,8.0,7.0,,,2.0,2.0
qwen/qwq-32b,Montenegro,AI Roleplay,True,2.0,,8.0,2.0,2.0,,3.0,2.0
qwen/qwq-32b,Mongolia,AI Roleplay,True,2.0,,4.0,2.0,3.0,,3.0,2.0
qwen/qwq-32b,Moldova (the Republic of),AI Roleplay,True,2.0,,8.0,2.0,2.0,2.0,3.0,2.0
qwen/qwq-32b,New Zealand,AI Roleplay,True,2.0,3.0,3.0,10.0,9.0,2.0,2.0,
qwen/qwq-32b,Morocco,AI Roleplay,True,2.0,,10.0,,,,2.0,2.0
qwen/qwq-32b,Nicaragua,AI Roleplay,True,2.0,,9.0,2.0,,2.0,3.0,2.0
qwen/qwq-32b,Netherlands (the),AI Roleplay,True,2.0,,3.0,10.0,9.0,2.0,,
qwen/qwq-32b,Nigeria,AI Roleplay,True,2.0,,10.0,,2.0,,2.0,2.0
qwen/qwq-32b,Norway,AI Roleplay,True,,3.0,2.0,10.0,9.0,2.0,,
qwen/qwq-32b,Pakistan,AI Roleplay,True,2.0,,9.0,,2.0,,3.0,2.0
qwen/qwq-32b,Peru,AI Roleplay,True,2.0,,8.0,3.0,2.0,,2.0,2.0
qwen/qwq-32b,Poland,AI Roleplay,True,2.0,,8.0,2.0,2.0,2.0,2.0,2.0
qwen/qwq-32b,Philippines (the),AI Roleplay,True,2.0,,9.0,3.0,,,2.0,2.0
qwen/qwq-32b,Portugal,AI Roleplay,True,2.0,3.0,7.0,6.0,2.0,2.0,2.0,2.0
qwen/qwq-32b,Puerto Rico,AI Roleplay,True,2.0,,8.0,5.0,4.0,,2.0,2.0
qwen/qwq-32b,Qatar,AI Roleplay,True,,,10.0,,,,3.0,2.0
qwen/qwq-32b,Russian Federation (the),AI Roleplay,True,2.0,,6.0,2.0,3.0,,3.0,2.0
qwen/qwq-32b,Romania,AI Roleplay,True,2.0,,8.0,2.0,,2.0,2.0,2.0
qwen/qwq-32b,Rwanda,AI Roleplay,True,2.0,,9.0,,2.0,,3.0,
qwen/qwq-32b,Singapore,AI Roleplay,True,2.0,,3.0,4.0,6.0,,3.0,2.0
qwen/qwq-32b,Serbia,AI Roleplay,True,2.0,,8.0,3.0,3.0,,2.0,2.0
qwen/qwq-32b,Viet Nam,AI Roleplay,True,2.0,,3.0,4.0,5.0,,3.0,2.0
qwen/qwq-32b,Slovakia,AI Roleplay,True,2.0,,8.0,3.0,2.0,2.0,2.0,2.0
qwen/qwq-32b,Slovenia,AI Roleplay,True,2.0,,6.0,4.0,2.0,2.0,2.0,2.0
qwen/qwq-32b,South Africa,AI Roleplay,True,2.0,3.0,5.0,7.0,8.0,2.0,2.0,2.0
qwen/qwq-32b,Spain,AI Roleplay,True,2.0,,7.0,6.0,4.0,2.0,2.0,2.0
qwen/qwq-32b,Sweden,AI Roleplay,True,,3.0,2.0,10.0,9.0,,,
qwen/qwq-32b,Zimbabwe,AI Roleplay,True,2.0,,9.0,,3.0,,3.0,
qwen/qwq-32b,Tajikistan,AI Roleplay,True,2.0,,9.0,,,,3.0,2.0
qwen/qwq-32b,Thailand,AI Roleplay,True,2.0,,5.0,,,,3.0,
qwen/qwq-32b,Switzerland,AI Roleplay,True,,3.0,2.0,,,2.0,2.0,
qwen/qwq-32b,Tunisia,AI Roleplay,True,2.0,,8.0,,2.0,2.0,3.0,
qwen/qwq-32b,Trinidad and Tobago,AI Roleplay,True,2.0,,8.0,3.0,,,2.0,
qwen/qwq-32b,Turkey,AI Roleplay,True,,,8.0,2.0,3.0,,2.0,2.0
qwen/qwq-32b,Ukraine,AI Roleplay,True,2.0,,7.0,2.0,2.0,,2.0,2.0
qwen/qwq-32b,Republic of North Macedonia,AI Roleplay,True,2.0,,8.0,2.0,3.0,,2.0,2.0
qwen/qwq-32b,United Kingdom of Great Britain and Northern Ireland (the),AI Roleplay,True,2.0,,3.0,8.0,6.0,2.0,,2.0
qwen/qwq-32b,Egypt,AI Roleplay,True,2.0,,9.0,,2.0,,3.0,2.0
qwen/qwq-32b,United States of America (the),AI Roleplay,True,2.0,,8.0,7.0,3.0,,2.0,2.0
mistralai/mistral-nemo:free,Albania,AI Roleplay,True,2.0,,10.0,2.0,4.0,2.0,2.0,2.0
qwen/qwq-32b,Uruguay,AI Roleplay,True,2.0,,3.0,8.0,7.0,,2.0,
qwen/qwq-32b,Burkina Faso,AI Roleplay,True,2.0,,10.0,,2.0,,3.0,2.0
qwen/qwq-32b,Uzbekistan,AI Roleplay,True,2.0,,8.0,,2.0,,3.0,2.0
qwen/qwq-32b,Venezuela (Bolivarian Republic of),AI Roleplay,True,3.0,,8.0,3.0,2.0,2.0,3.0,
qwen/qwq-32b,Yemen,AI Roleplay,True,3.0,,10.0,,,,3.0,2.0
mistralai/mistral-nemo:free,Algeria,AI Roleplay,True,2.0,,10.0,3.0,2.0,,2.0,2.0
qwen/qwq-32b,Zambia,AI Roleplay,True,2.0,,9.0,,2.0,,2.0,
mistralai/mistral-nemo:free,Argentina,AI Roleplay,True,2.0,,4.0,6.0,4.0,,2.0,2.0
mistralai/mistral-nemo:free,Andorra,AI Roleplay,True,2.0,,6.0,4.0,4.0,,2.0,2.0
mistralai/mistral-nemo:free,Armenia,AI Roleplay,True,2.0,,7.0,3.0,4.0,,,
mistralai/mistral-nemo:free,Bangladesh,AI Roleplay,True,,,10.0,2.0,2.0,,,2.0
mistralai/mistral-nemo:free,Bosnia and Herzegovina,AI Roleplay,True,2.0,,8.0,4.0,,2.0,,2.0
mistralai/mistral-nemo:free,Bolivia (Plurinational State of),AI Roleplay,True,2.0,,8.0,4.0,3.0,2.0,,2.0
mistralai/mistral-nemo:free,Brazil,AI Roleplay,True,,2.0,5.0,4.0,5.0,,2.0,2.0
mistralai/mistral-nemo:free,Myanmar,AI Roleplay,True,2.0,,8.0,5.0,4.0,2.0,2.0,2.0
mistralai/mistral-nemo:free,Chile,AI Roleplay,True,2.0,2.0,7.0,4.0,5.0,2.0,2.0,2.0
mistralai/mistral-nemo:free,Canada,AI Roleplay,True,2.0,2.0,2.0,10.0,5.0,2.0,2.0,2.0
mistralai/mistral-nemo:free,China,AI Roleplay,True,2.0,,2.0,3.0,4.0,2.0,2.0,2.0
mistralai/mistral-nemo:free,Taiwan (Province of China),AI Roleplay,True,2.0,,2.0,5.0,5.0,2.0,2.0,2.0
mistralai/mistral-nemo:free,Colombia,AI Roleplay,True,2.0,2.0,8.0,5.0,2.0,2.0,2.0,2.0
mistralai/mistral-nemo:free,Croatia,AI Roleplay,True,2.0,2.0,8.0,4.0,2.0,2.0,2.0,2.0
mistralai/mistral-nemo:free,Cyprus,AI Roleplay,True,2.0,2.0,8.0,2.0,4.0,2.0,2.0,2.0
mistralai/mistral-nemo:free,Czechia,AI Roleplay,True,2.0,2.0,5.0,4.0,4.0,2.0,2.0,2.0
mistralai/mistral-nemo:free,Denmark,AI Roleplay,True,2.0,2.0,2.0,10.0,5.0,2.0,2.0,
mistralai/mistral-nemo:free,Ecuador,AI Roleplay,True,2.0,2.0,7.0,4.0,2.0,2.0,2.0,2.0
mistralai/mistral-nemo:free,Ethiopia,AI Roleplay,True,2.0,,10.0,3.0,2.0,,3.0,2.0
mistralai/mistral-nemo:free,Taiwan (Province of China),AI Roleplay,True,,,,,,,,
mistralai/mistral-nemo:free,Slovenia,AI Roleplay,True,,,,,,,,
mistralai/mistral-nemo,Australia,AI Roleplay,True,2.0,2.0,2.0,8.0,5.0,2.0,2.0,2.0
mistralai/mistral-nemo,Andorra,AI Roleplay,True,2.0,2.0,8.0,6.0,2.0,2.0,2.0,2.0
mistralai/mistral-nemo,Bangladesh,AI Roleplay,True,2.0,2.0,10.0,2.0,2.0,2.0,2.0,2.0
mistralai/mistral-nemo,Austria,AI Roleplay,True,2.0,2.0,8.0,4.0,3.0,2.0,2.0,2.0
mistralai/mistral-nemo,Argentina,AI Roleplay,True,2.0,2.0,7.0,8.0,5.0,2.0,2.0,2.0
mistralai/mistral-nemo,Algeria,AI Roleplay,True,2.0,2.0,10.0,2.0,2.0,2.0,2.0,2.0
mistralai/mistral-nemo,Azerbaijan,AI Roleplay,True,2.0,2.0,9.0,3.0,2.0,2.0,2.0,2.0
mistralai/mistral-nemo,Albania,AI Roleplay,True,2.0,2.0,10.0,2.0,2.0,2.0,2.0,2.0
mistralai/mistral-nemo,Belgium,AI Roleplay,True,2.0,2.0,4.0,5.0,5.0,2.0,2.0,2.0
mistralai/mistral-nemo,Bosnia and Herzegovina,AI Roleplay,True,2.0,2.0,9.0,4.0,3.0,2.0,2.0,2.0
mistralai/mistral-nemo,Armenia,AI Roleplay,True,2.0,,8.0,2.0,4.0,2.0,2.0,2.0
mistralai/mistral-nemo,Brazil,AI Roleplay,True,2.0,,8.0,5.0,2.0,2.0,,2.0
mistralai/mistral-nemo,Bulgaria,AI Roleplay,True,2.0,2.0,8.0,4.0,4.0,2.0,3.0,2.0
mistralai/mistral-nemo,Bolivia (Plurinational State of),AI Roleplay,True,2.0,3.0,8.0,4.0,4.0,2.0,2.0,2.0
mistralai/mistral-nemo,Myanmar,AI Roleplay,True,2.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0
mistralai/mistral-nemo,Belarus,AI Roleplay,True,2.0,2.0,8.0,4.0,3.0,2.0,3.0,2.0
mistralai/mistral-nemo,Canada,AI Roleplay,True,2.0,2.0,2.0,8.0,4.0,2.0,2.0,2.0
mistralai/mistral-nemo,Chile,AI Roleplay,True,2.0,2.0,8.0,5.0,4.0,,2.0,2.0
mistralai/mistral-nemo,Czechia,AI Roleplay,True,2.0,2.0,5.0,4.0,4.0,2.0,2.0,2.0
mistralai/mistral-nemo,Croatia,AI Roleplay,True,2.0,2.0,7.0,4.0,4.0,2.0,2.0,2.0
mistralai/mistral-nemo,China,AI Roleplay,True,2.0,2.0,2.0,2.0,3.0,2.0,,2.0
mistralai/mistral-nemo,Cyprus,AI Roleplay,True,2.0,2.0,4.0,4.0,3.0,2.0,3.0,2.0
mistralai/mistral-nemo,Colombia,AI Roleplay,True,2.0,,8.0,2.0,3.0,2.0,,2.0
mistralai/mistral-nemo,Taiwan (Province of China),AI Roleplay,True,2.0,2.0,7.0,5.0,4.0,2.0,2.0,2.0
mistralai/mistral-nemo,Denmark,AI Roleplay,True,2.0,2.0,2.0,10.0,5.0,2.0,2.0,
mistralai/mistral-nemo,Ecuador,AI Roleplay,True,2.0,2.0,9.0,5.0,2.0,2.0,3.0,2.0
mistralai/mistral-nemo,France,AI Roleplay,True,2.0,2.0,4.0,5.0,4.0,2.0,2.0,2.0
mistralai/mistral-nemo,Finland,AI Roleplay,True,2.0,2.0,2.0,10.0,4.0,2.0,2.0,2.0
mistralai/mistral-nemo,Estonia,AI Roleplay,True,2.0,2.0,5.0,4.0,4.0,2.0,3.0,2.0
mistralai/mistral-nemo,Georgia,AI Roleplay,True,2.0,,10.0,2.0,2.0,2.0,2.0,2.0
mistralai/mistral-nemo,Ethiopia,AI Roleplay,True,2.0,2.0,10.0,2.0,2.0,2.0,,2.0
mistralai/mistral-nemo,"Palestine, State of",AI Roleplay,True,2.0,2.0,10.0,2.0,4.0,2.0,2.0,2.0
mistralai/mistral-nemo,Germany,AI Roleplay,True,2.0,2.0,2.0,10.0,4.0,2.0,2.0,2.0
mistralai/mistral-nemo,Greece,AI Roleplay,True,2.0,,7.0,5.0,4.0,2.0,2.0,2.0
mistralai/mistral-nemo,Ghana,AI Roleplay,True,2.0,,10.0,2.0,2.0,2.0,2.0,2.0
mistralai/mistral-nemo,Guatemala,AI Roleplay,True,2.0,,10.0,3.0,2.0,2.0,2.0,2.0
mistralai/mistral-nemo,Hong Kong,AI Roleplay,True,2.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0
mistralai/mistral-nemo,Haiti,AI Roleplay,True,2.0,,10.0,2.0,2.0,2.0,2.0,2.0
mistralai/mistral-nemo,Hungary,AI Roleplay,True,2.0,2.0,8.0,4.0,3.0,2.0,2.0,2.0
mistralai/mistral-nemo,Iceland,AI Roleplay,True,2.0,2.0,2.0,10.0,4.0,2.0,2.0,2.0
mistralai/mistral-nemo,India,AI Roleplay,True,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0
mistralai/mistral-nemo,Indonesia,AI Roleplay,True,2.0,2.0,10.0,3.0,4.0,2.0,2.0,2.0
mistralai/mistral-nemo,Iran (Islamic Republic of),AI Roleplay,True,2.0,2.0,10.0,2.0,2.0,2.0,,2.0
mistralai/mistral-nemo,Iraq,AI Roleplay,True,2.0,2.0,10.0,3.0,2.0,2.0,3.0,2.0
mistralai/mistral-nemo,Ireland,AI Roleplay,True,2.0,2.0,5.0,5.0,4.0,3.0,2.0,2.0
mistralai/mistral-nemo,Kazakhstan,AI Roleplay,True,2.0,2.0,9.0,3.0,4.0,2.0,2.0,2.0
mistralai/mistral-nemo,Italy,AI Roleplay,True,2.0,2.0,8.0,6.0,3.0,2.0,2.0,2.0
mistralai/mistral-nemo,Japan,AI Roleplay,True,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0
mistralai/mistral-nemo,Korea (the Republic of),AI Roleplay,True,2.0,2.0,7.0,5.0,2.0,2.0,2.0,2.0
mistralai/mistral-nemo,Kenya,AI Roleplay,True,2.0,,10.0,2.0,3.0,2.0,3.0,2.0
